Nombre,Apellido,Usuario,Contrasena,Departamento,Email
Juan,Garcia,jgarcia,P@ssw0rd123,Cuates,jgarcia@practica.local
Maria,Lopez,mlopez,P@ssw0rd123,Cuates,mlopez@practica.local
Carlos,Martinez,cmartinez,P@ssw0rd123,Cuates,cmartinez@practica.local
Ana,Rodriguez,arodriguez,P@ssw0rd123,Cuates,arodriguez@practica.local
Luis,Hernandez,lhernandez,P@ssw0rd123,Cuates,lhernandez@practica.local
Sofia,Perez,sperez,P@ssw0rd123,NoCuates,sperez@practica.local
Diego,Sanchez,dsanchez,P@ssw0rd123,NoCuates,dsanchez@practica.local
Valentina,Torres,vtorres,P@ssw0rd123,NoCuates,vtorres@practica.local
Andres,Ramirez,aramirez,P@ssw0rd123,NoCuates,aramirez@practica.local
Camila,Flores,cflores,P@ssw0rd123,NoCuates,cflores@practica.local
